"ID_S";"ID";"TIPO";"COSTO"
"O.E.05.P.2.D";"E05.P2.D";"C";"1444.342432"
"O.E.05.P.2.D.21";"E05.P2.D21";"H";"361.085608"
"O.E.05.P.2.D.22";"E05.P2.D22";"H";"361.085608"
"O.E.05.P.2.D.23";"E05.P2.D23";"H";"361.085608"
"O.E.05.P.2.D.24";"E05.P2.D24";"H";"361.085608"
"O.E.05.P.3";"E05.P3";"R";"2082.421675"
"O.E.05.P.3.D";"E05.P3.D";"C";"1083.256824"
"O.E.05.P.3.D.31";"E05.P3.D31";"H";"361.085608"
"O.E.05.P.3.D.32";"E05.P3.D32";"H";"361.085608"
"O.E.05.P.3.D.33";"E05.P3.D33";"H";"361.085608"
"O.E.05.P.4";"E05.P4";"H";"2804.592891"
"O.E.05.P.4.D";"E05.P4.D";"R";"1805.428040"
"O.E.05.P.4.D.34";"E05.P4.D34";"C";"361.085608"
"O.E.05.P.4.D.41";"E05.P4.D41";"H";"361.085608"
"O.E.05.P.4.D.42";"E05.P4.D42";"H";"361.085608"
"O.E.05.P.4.D.43";"E05.P4.D43";"H";"361.085608"
"O.E.05.P.4.D.44";"E05.P4.D44";"H";"361.085608"
"O.E.06";;;"12803.696510"
"O.E.06.L";"E06.L";"C";"1491.337000"
"O.E.06.L.1";"E06.L1";"R";"1491.337000"
"O.E.06.N";"E06.N";"C";"768.547998"
"O.E.06.N.1";"E06.N1";"R";"768.547998"
"O.E.06.N.1.C";"E06.N1.C";"C";"768.547998"
"O.E.06.N.1.C.1";"E06.N1.C1";"H";"128.091333"
"O.E.06.N.1.C.2";"E06.N1.C2";"H";"128.091333"
"O.E.06.N.1.C.3";"E06.N1.C3";"H";"128.091333"
"O.E.06.N.1.C.4";"E06.N1.C4";"H";"128.091333"
"O.E.06.N.1.C.5";"E06.N1.C5";"H";"128.091333"
"O.E.06.N.1.C.6";"E06.N1.C6";"H";"128.091333"
"O.E.06.P";"E06.P";"C";"9740.251512"
"O.E.06.P.1";"E06.P1";"R";"2409.729663"
"O.E.06.P.1.D";"E06.P1.D";"C";"1463.913201"
"O.E.06.P.1.D.11";"E06.P1.D11";"H";"361.085608"
"O.E.06.P.1.D.12";"E06.P1.D12";"H";"361.085608"
"O.E.06.P.1.D.13";"E06.P1.D13";"H";"380.656377"
"O.E.06.P.1.D.14";"E06.P1.D14";"H";"361.085608"
"O.E.06.P.2";"E06.P2";"R";"2443.507283"
"O.E.06.P.2.D";"E06.P2.D";"C";"1444.342432"
"O.E.06.P.2.D.21";"E06.P2.D21";"H";"361.085608"
"O.E.06.P.2.D.22";"E06.P2.D22";"H";"361.085608"
"O.E.06.P.2.D.23";"E06.P2.D23";"H";"361.085608"
"O.E.06.P.2.D.24";"E06.P2.D24";"H";"361.085608"
"O.E.06.P.3";"E06.P3";"R";"2082.421675"
"O.E.06.P.3.D";"E06.P3.D";"C";"1083.256824"
"O.E.06.P.3.D.31";"E06.P3.D31";"H";"361.085608"
"O.E.06.P.3.D.32";"E06.P3.D32";"H";"361.085608"
"O.E.06.P.3.D.33";"E06.P3.D33";"H";"361.085608"
"O.E.06.P.4";"E06.P4";"H";"2804.592891"
"O.E.06.P.4.D";"E06.P4.D";"R";"1805.428040"
"O.E.06.P.4.D.34";"E06.P4.D34";"C";"361.085608"
"O.E.06.P.4.D.41";"E06.P4.D41";"H";"361.085608"
"O.E.06.P.4.D.42";"E06.P4.D42";"H";"361.085608"
"O.E.06.P.4.D.43";"E06.P4.D43";"H";"361.085608"
"O.E.06.P.4.D.44";"E06.P4.D44";"H";"361.085608"
"O.E.07";;;"12803.696510"
"O.E.07.L";"E07.L";"C";"1491.337000"
"O.E.07.L.1";"E07.L1";"R";"1491.337000"
"O.E.07.N";"E07.N";"C";"768.547998"
"O.E.07.N.1";"E07.N1";"R";"768.547998"
"O.E.07.N.1.C";"E07.N1.C";"C";"768.547998"
"O.E.07.N.1.C.1";"E07.N1.C1";"H";"128.091333"
"O.E.07.N.1.C.2";"E07.N1.C2";"H";"128.091333"
"O.E.07.N.1.C.3";"E07.N1.C3";"H";"128.091333"
"O.E.07.N.1.C.4";"E07.N1.C4";"H";"128.091333"
"O.E.07.N.1.C.5";"E07.N1.C5";"H";"128.091333"
"O.E.07.N.1.C.6";"E07.N1.C6";"H";"128.091333"
"O.E.07.P";"E07.P";"C";"9740.251512"
"O.E.07.P.1";"E07.P1";"R";"2409.729663"
"O.E.07.P.1.D";"E07.P1.D";"C";"1463.913201"
"O.E.07.P.1.D.11";"E07.P1.D11";"H";"361.085608"
"O.E.07.P.1.D.12";"E07.P1.D12";"H";"361.085608"
