ID.S;ID;TIPO;COSTO
O.E.06.P.3.D.34.d;E06.P3.D34;H;361.085608
O.E.06.P.3.G;;H;2082.421675
O.E.06.P.3.G.d;E06.P3;H;2082.421675
O.E.06.P.4;;H;1805.428040
O.E.06.P.4.D;E06.P4.D;H;1805.428040
O.E.06.P.4.D.41;;H;361.085608
O.E.06.P.4.D.41.d;E06.P4.D41;H;361.085608
O.E.06.P.4.D.42;;H;361.085608
O.E.06.P.4.D.42.d;E06.P4.D42;H;361.085608
O.E.06.P.4.D.43;;H;361.085608
O.E.06.P.4.D.43.d;E06.P4.D43;H;361.085608
O.E.06.P.4.D.44;;H;361.085608
O.E.06.P.4.D.44.d;E06.P4.D44;H;361.085608
O.E.06.P.4.G;;H;2804.592891
O.E.06.P.4.G.d;E06.P4;H;2804.592891
O.E.07;;H;12803.696510
O.E.07.G;;H;12803.696510
O.E.07.G.d;E07;H;12803.696510
O.E.07.L;E07.L;H;1491.337000
O.E.07.L.1;;H;1491.337000
O.E.07.L.1.d;E07.L1;H;1491.337000
O.E.07.N;E07.N;H;768.547998
O.E.07.N.1;E07.N1;H;768.547998
O.E.07.N.1.C;E07.N1.C;H;768.547998
O.E.07.N.1.C.1;E07.N1.C1;H;128.091333
O.E.07.N.1.C.2;E07.N1.C2;H;128.091333
O.E.07.N.1.C.3;E07.N1.C3;H;128.091333
O.E.07.N.1.C.4;E07.N1.C4;H;128.091333
O.E.07.N.1.C.5;E07.N1.C5;H;128.091333
O.E.07.N.1.C.6;E07.N1.C6;H;128.091333
O.E.07.P;E07.P;H;9740.251512
O.E.07.P.1;;H;2409.729663
O.E.07.P.1.D;E07.P1.D;H;1463.913201
O.E.07.P.1.D.11;;H;361.085608
O.E.07.P.1.D.11.d;E07.P1.D11;H;361.085608
O.E.07.P.1.D.12;;H;361.085608
O.E.07.P.1.D.12.d;E07.P1.D12;H;361.085608
O.E.07.P.1.D.13;;H;380.656377
O.E.07.P.1.D.13.d;E07.P1.D13;H;380.656377
O.E.07.P.1.D.14;;H;361.085608
O.E.07.P.1.D.14.d;E07.P1.D14;H;361.085608
O.E.07.P.1.G;;H;2409.729663
O.E.07.P.1.G.d;E07.P1;H;2409.729663
O.E.07.P.2;;H;2443.507283
O.E.07.P.2.D;E07.P2.D;H;1444.342432
O.E.07.P.2.D.21;;H;361.085608
O.E.07.P.2.D.21.d;E07.P2.D21;H;361.085608
O.E.07.P.2.D.22;;H;361.085608
O.E.07.P.2.D.22.d;E07.P2.D22;H;361.085608
O.E.07.P.2.D.23;;H;361.085608
O.E.07.P.2.D.23.d;E07.P2.D23;H;361.085608
O.E.07.P.2.D.24;;H;361.085608
O.E.07.P.2.D.24.d;E07.P2.D24;H;361.085608
O.E.07.P.2.G;;H;2443.507283
O.E.07.P.2.G.d;E07.P2;H;2443.507283
O.E.07.P.3;;H;2082.421675
O.E.07.P.3.D;E07.P3.D;H;1083.256824
O.E.07.P.3.D.31;;H;361.085608
O.E.07.P.3.D.31.d;E07.P3.D31;H;361.085608
O.E.07.P.3.D.32;;H;361.085608
O.E.07.P.3.D.32.d;E07.P3.D32;H;361.085608
O.E.07.P.3.D.33;;H;361.085608
O.E.07.P.3.D.33.d;E07.P3.D33;H;361.085608
O.E.07.P.3.D.34;;H;361.085608
O.E.07.P.3.D.34.d;E07.P3.D34;H;361.085608
O.E.07.P.3.G;;H;2082.421675
O.E.07.P.3.G.d;E07.P3;H;2082.421675
O.E.07.P.4;;H;1805.428040
O.E.07.P.4.D;E07.P4.D;H;1805.428040
O.E.07.P.4.D.41;;H;361.085608
O.E.07.P.4.D.41.d;E07.P4.D41;H;361.085608
O.E.07.P.4.D.42;;H;361.085608
O.E.07.P.4.D.42.d;E07.P4.D42;H;361.085608
O.E.07.P.4.D.43;;H;361.085608
O.E.07.P.4.D.43.d;E07.P4.D43;H;361.085608
O.E.07.P.4.D.44;;H;361.085608
O.E.07.P.4.D.44.d;E07.P4.D44;H;361.085608
O.E.07.P.4.G;;H;2804.592891
O.E.07.P.4.G.d;E07.P4;H;2804.592891
O.E.08;;H;12809.842510
O.E.08.G;;H;12809.842510
O.E.08.G.d;E08;H;12809.842510
O.E.08.L;E08.L;H;1491.337000
O.E.08.L.1;;H;1491.337000
O.E.08.L.1.d;E08.L1;H;1491.337000
O.E.08.N;E08.N;H;768.547998
O.E.08.N.1;E08.N1;H;768.547998
O.E.08.N.1.C;E08.N1.C;H;768.547998
O.E.08.N.1.C.1;E08.N1.C1;H;128.091333
O.E.08.N.1.C.2;E08.N1.C2;H;128.091333
O.E.08.N.1.C.3;E08.N1.C3;H;128.091333
O.E.08.N.1.C.4;E08.N1.C4;H;128.091333
O.E.08.N.1.C.5;E08.N1.C5;H;128.091333
O.E.08.N.1.C.6;E08.N1.C6;H;128.091333
O.E.08.P;E08.P;H;9746.397512
O.E.08.P.1;;H;2415.875663
O.E.08.P.1.D;E08.P1.D;H;1470.059201
O.E.08.P.1.D.11;;H;361.085608
O.E.08.P.1.D.11.d;E08.P1.D11;H;361.085608
O.E.08.P.1.D.12;;H;361.085608
O.E.08.P.1.D.12.d;E08.P1.D12;H;361.085608
O.E.08.P.1.D.13;;H;386.802377
O.E.08.P.1.D.13.d;E08.P1.D13;H;386.802377
O.E.08.P.1.D.14;;H;361.085608
O.E.08.P.1.D.14.d;E08.P1.D14;H;361.085608
O.E.08.P.1.G;;H;2415.875663
O.E.08.P.1.G.d;E08.P1;H;2415.875663
O.E.08.P.2;;H;2443.507283
O.E.08.P.2.D;E08.P2.D;H;1444.342432
O.E.08.P.2.D.21;;H;361.085608
O.E.08.P.2.D.21.d;E08.P2.D21;H;361.085608
O.E.08.P.2.D.22;;H;361.085608
O.E.08.P.2.D.22.d;E08.P2.D22;H;361.085608
O.E.08.P.2.D.23;;H;361.085608
O.E.08.P.2.D.23.d;E08.P2.D23;H;361.085608
O.E.08.P.2.D.24;;H;361.085608
O.E.08.P.2.D.24.d;E08.P2.D24;H;361.085608
O.E.08.P.2.G;;H;2443.507283
O.E.08.P.2.G.d;E08.P2;H;2443.507283
O.E.08.P.3;;H;2082.421675
O.E.08.P.3.D;E08.P3.D;H;1083.256824
O.E.08.P.3.D.31;;H;361.085608
O.E.08.P.3.D.31.d;E08.P3.D31;H;361.085608
O.E.08.P.3.D.32;;H;361.085608
O.E.08.P.3.D.32.d;E08.P3.D32;H;361.085608
O.E.08.P.3.D.33;;H;361.085608
O.E.08.P.3.D.33.d;E08.P3.D33;H;361.085608
O.E.08.P.3.D.34;;H;361.085608
O.E.08.P.3.D.34.d;E08.P3.D34;H;361.085608
O.E.08.P.3.G;;H;2082.421675
O.E.08.P.3.G.d;E08.P3;H;2082.421675
O.E.08.P.4;;H;1805.428040
O.E.08.P.4.D;E08.P4.D;H;1805.428040
O.E.08.P.4.D.41;;H;361.085608
O.E.08.P.4.D.41.d;E08.P4.D41;H;361.085608
O.E.08.P.4.D.42;;H;361.085608
O.E.08.P.4.D.42.d;E08.P4.D42;H;361.085608
O.E.08.P.4.D.43;;H;361.085608
O.E.08.P.4.D.43.d;E08.P4.D43;H;361.085608
O.E.08.P.4.D.44;;H;361.085608
O.E.08.P.4.D.44.d;E08.P4.D44;H;361.085608
O.E.08.P.4.G;;H;2804.592891
O.E.08.P.4.G.d;E08.P4;H;2804.592891
O.E.09;;H;12803.696510
O.E.09.G;;H;12803.696510
O.E.09.G.d;E09;H;12803.696510
O.E.09.L;E09.L;H;1491.337000
O.E.09.L.1;;H;1491.337000
O.E.09.L.1.d;E09.L1;H;1491.337000
O.E.09.N;E09.N;H;768.547998
O.E.09.N.1;E09.N1;H;768.547998
O.E.09.N.1.C;E09.N1.C;H;768.547998
