ELEMENTO.ID;DSC;TIPO;CONTEXTO;PORC.APL;EDIFICIO;NIVEL;PISO;DEPTO;COSTO;COSTO.PORC
E15.F0.C5;Capa 5 Nivel 0;NIVEL;NIVEL;0.5;E15;N0;;;64.045667;0.0001852023
E15.F0.C4;Capa 4 Nivel 0;NIVEL;NIVEL;0.5;E15;N0;;;64.045667;0.0001852023
E15.F0.C3;Capa 3 Nivel 0;NIVEL;NIVEL;0.5;E15;N0;;;64.045667;0.0001852023
E15.F0.C2;Capa 2 Nivel 0;NIVEL;NIVEL;0.5;E15;N0;;;64.045667;0.0001852023
E15.F0.C1;Capa 1 Nivel 0;NIVEL;NIVEL;0.5;E15;N0;;;64.045667;0.0001852023
E14.F1.C6;Capa 6 Nivel 1;NIVEL;NIVEL;0.5;E14;N1;;;64.045667;0.0001852023
E15.F1.C1;Capa 1 Nivel 1;NIVEL;NIVEL;0.5;E15;N1;;;64.045667;0.0001852023
E15.F1.C2;Capa 2 Nivel 1;NIVEL;NIVEL;0.5;E15;N1;;;64.045667;0.0001852023
E15.F1.C3;Capa 3 Nivel 1;NIVEL;NIVEL;0.5;E15;N1;;;64.045667;0.0001852023
E15.F1.C4;Capa 4 Nivel 1;NIVEL;NIVEL;0.5;E15;N1;;;64.045667;0.0001852023
E15.F1.C5;Capa 5 Nivel 1;NIVEL;NIVEL;0.5;E15;N1;;;64.045667;0.0001852023
E15.F1.C6;Capa 6 Nivel 1;NIVEL;NIVEL;0.5;E15;N1;;;64.045667;0.0001852023
E16.F0.C1;Capa 1 Nivel 0;NIVEL;NIVEL;0.5;E16;N0;;;64.045667;0.0001852023
E16.F0.C2;Capa 2 Nivel 0;NIVEL;NIVEL;0.5;E16;N0;;;64.045667;0.0001852023
E16.F0.C3;Capa 3 Nivel 0;NIVEL;NIVEL;0.5;E16;N0;;;64.045667;0.0001852023
E16.F0.C4;Capa 4 Nivel 0;NIVEL;NIVEL;0.5;E16;N0;;;64.045667;0.0001852023
E14.F1.C5;Capa 5 Nivel 1;NIVEL;NIVEL;0.5;E14;N1;;;64.045667;0.0001852023
E14.F1.C4;Capa 4 Nivel 1;NIVEL;NIVEL;0.5;E14;N1;;;64.045667;0.0001852023
E12.F1.C5;Capa 5;NIVEL;NIVEL;1.0;E12;N1;;;128.091333;0.0003704047
E12.F1.C6;Capa 6;NIVEL;NIVEL;1.0;E12;N1;;;128.091333;0.0003704047
E13.F1.C1;Capa 1;NIVEL;NIVEL;1.0;E13;N1;;;128.091333;0.0003704047
